snapshot_date,geography,records_in_snapshot,metric,value,unit,source_url,notes
2026-04,New York City,24751,Grade A,82,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Most recent A/B/C graded inspection per CAMIS; rounded"
2026-04,New York City,24751,Grade B or C,18,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Most recent A/B/C graded inspection per CAMIS; rounded"
2026-04,Manhattan,,Grade A,82,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Borough subset; rounded"
2026-04,Bronx,,Grade B or C,24,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Borough subset; rounded"
2026-04,Queens,,Grade B or C,23.7,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Borough subset"
2026-04,Brooklyn,,Grade B or C,20.8,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Borough subset"
2026-04,Staten Island,,Grade B or C,18.9,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Borough subset"
2026-04,Manhattan,,Grade B or C,18.4,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Borough subset"
2026-04,Chicago,15420,Pass,60,percent,https://data.cityofchicago.org/resource/4ijn-s7e5.json,"Most recent result per business name plus address; rounded"
2026-04,Chicago,15420,Fail,22,percent,https://data.cityofchicago.org/resource/4ijn-s7e5.json,"Most recent result per business name plus address; rounded"
2026-04,Chicago,15420,Fail or Pass with Conditions,40,percent,https://data.cityofchicago.org/resource/4ijn-s7e5.json,"Most recent result per business name plus address; rounded"
2026-04,San Francisco,7200,Inspection score 90 or above,41,percent,https://data.sfgov.org/resource/pyih-qa8i.json,"Most recent scored inspection per business name plus address; rounded"
2026-04,San Francisco,7200,Inspection score below 80,20,percent,https://data.sfgov.org/resource/pyih-qa8i.json,"Most recent scored inspection per business name plus address; rounded"
2026-04,"Westminster, London",5558,Food hygiene rating 5,70,percent,https://ratings.food.gov.uk/open-data/en-GB,"Westminster establishments; rounded"
2026-04,"Westminster, London",5558,Food hygiene rating 0 to 2,5,percent,https://ratings.food.gov.uk/open-data/en-GB,"Westminster establishments; rounded"
2026-04,New York City,,Donut cuisine grade B or C,5,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
2026-04,New York City,,Coffee or tea cuisine grade B or C,13,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
2026-04,New York City,,Hamburger cuisine grade B or C,9,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
2026-04,New York City,,Chinese cuisine grade B or C,31,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
2026-04,New York City,,Caribbean cuisine grade B or C,32,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
2026-04,New York City,,Thai cuisine grade B or C,32,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
2026-04,New York City,,Indian cuisine grade B or C,38,percent,https://data.cityofnewyork.us/resource/43nn-pn8j.json,"Cuisine-category subset; descriptive only"
